[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=2.760000e-07 V=+0.050000 | gate_W=0.0000 | r_ref=+155.9669 | R=1.051572e+04 I=4.7548e-06
VALID t=2.770000e-07 V=+0.100000 | gate_W=0.0000 | r_ref=+155.9629 | R=1.051564e+04 I=9.5097e-06
VALID t=2.780000e-07 V=+0.150000 | gate_W=0.0001 | r_ref=+155.9508 | R=1.051538e+04 I=1.4265e-05
VALID t=2.790000e-07 V=+0.200000 | gate_W=0.0003 | r_ref=+155.9147 | R=1.051460e+04 I=1.9022e-05
VALID t=2.800000e-07 V=+0.250000 | gate_W=0.0009 | r_ref=+155.8070 | R=1.051216e+04 I=2.3784e-05
VALID t=2.810000e-07 V=+0.300000 | gate_W=0.0025 | r_ref=+155.4883 | R=1.050435e+04 I=2.8569e-05
VALID t=2.820000e-07 V=+0.350000 | gate_W=0.0067 | r_ref=+154.5528 | R=1.047885e+04 I=3.3446e-05
VALID t=2.830000e-07 V=+0.400000 | gate_W=0.0180 | r_ref=+151.8484 | R=1.039476e+04 I=3.8725e-05
VALID t=2.840000e-07 V=+0.450000 | gate_W=0.0474 | r_ref=+144.2873 | R=1.012654e+04 I=4.5741e-05
VALID t=2.850000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+124.7600 | R=9.368472e+03 I=5.9311e-05
VALID t=2.860000e-07 V=+0.550000 | gate_W=0.2689 | r_ref=+82.7252 | R=7.676091e+03 I=9.1011e-05
VALID t=2.870000e-07 V=+0.600000 | gate_W=0.5000 | r_ref=+19.6174 | R=5.178139e+03 I=1.5101e-04
VALID t=2.880000e-07 V=+0.650000 | gate_W=0.7311 | r_ref=-35.1277 | R=3.252148e+03 I=2.2058e-04
VALID t=2.890000e-07 V=+0.700000 | gate_W=0.8808 | r_ref=-123.7500 | R=2.505778e+03 I=2.8205e-04
VALID t=2.900000e-07 V=+0.750000 | gate_W=0.9526 | r_ref=-178.6381 | R=1.280154e+03 I=6.0021e-04
VALID t=2.910000e-07 V=+0.800000 | gate_W=0.9820 | r_ref=-201.4885 | R=9.345248e+02 I=8.5763e-04
VALID t=2.920000e-07 V=+0.850000 | gate_W=0.9933 | r_ref=-206.9958 | R=8.843001e+02 I=9.6123e-04
VALID t=2.930000e-07 V=+0.900000 | gate_W=0.9975 | r_ref=-207.8297 | R=8.735201e+02 I=1.0303e-03
VALID t=2.940000e-07 V=+0.950000 | gate_W=0.9991 | r_ref=-207.9578 | R=8.768479e+02 I=1.0834e-03
VALID t=2.950000e-07 V=+1.000000 | gate_W=0.9997 | r_ref=-208.0453 | R=8.859477e+02 I=1.1287e-03
VALID t=2.960000e-07 V=+1.050000 | gate_W=0.9999 | r_ref=-208.1231 | R=8.962111e+02 I=1.1716e-03
